severity,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,churn,files,NR,NBF,nc,ncom,avg_cs,dsc,ce,exp,own,is_controller,is_procedural,is_test,is_util,is_external
minor,7,7,0,7,7,1,0,14,0,0.5,0.6666667,1,4,0,3,0,0,1,4,0,0,0,8,0,0,8,0,0,7,0,7,64,2,0,1,1,0,6,5,15,1,12,2,1,0,0,44,2,0,20898,628,5,18,60,5,10.46666667,14.32468955,3.62262136,12,0.533333333,FALSE,FALSE,FALSE,TRUE,FALSE
none,2,6,4,2,11,1,0,3,0,0.5,0.53333336,0.6666667,6,0,6,0,0,0,6,0,0,0,3,0,0,3,0,0,0,0,0,41,2,0,5,0,0,0,0,11,0,4,2,0,0,0,28,1,0,2473,43,0,2,6,3,7.166666667,9.75308642,1.584511339,2,0.666666667,FALSE,FALSE,FALSE,FALSE,FALSE
minor,8,8,0,8,25,2,0,10,3,0,0,0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,64,3,0,10,0,2,1,26,25,0,5,2,0,0,0,63,0,0,220647,36,0,0,1,1,36,6.859504132,0,1,1,TRUE,FALSE,TRUE,FALSE,FALSE
none,0,0,0,0,2,3,0,0,1,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,8835,184,1,3,20,6,9.2,10.52,2.559763354,3.333333333,0.4,FALSE,FALSE,FALSE,FALSE,FALSE
none,1,3,2,1,2,1,0,2,1,0,,,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,9,1,0,0,0,0,1,0,1,0,1,0,0,0,0,7,17,0,1286,43,0,5,8,1,5.375,0,1.648332708,8,1,FALSE,TRUE,FALSE,TRUE,FALSE
none,10,10,0,10,6,2,0,4,0,0.64,1,1,5,0,2,0,0,3,5,0,0,0,5,0,0,5,0,0,0,0,0,23,4,0,0,0,0,3,1,2,0,5,0,0,0,0,26,1,0,1280,49,0,0,3,2,16.33333333,13.95918367,0.85570564,1.5,0.666666667,FALSE,FALSE,FALSE,FALSE,FALSE
none,3,3,0,3,9,1,0,2,0,0,0.083333336,0.083333336,9,0,9,0,0,0,9,0,0,0,1,0,0,0,1,0,0,0,0,38,7,0,0,0,0,0,0,8,0,2,0,0,0,0,49,25,0,1497,84,0,1,7,2,12,5.5,1.091699575,3.5,0.857142857,TRUE,FALSE,FALSE,FALSE,FALSE
major,62,65,3,62,33,1,0,37,406,0,0,0,29,29,29,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,30,154,29,0,1,2,0,7,1,42,3,41,2,0,0,0,80,1,0,6222,148,0,0,5,3,29.6,6.0128,1.458556051,1.666666667,0.6,TRUE,FALSE,FALSE,FALSE,FALSE
major,28,28,0,28,12,1,0,26,3,0.7809524,0.6666667,1,7,0,3,3,0,1,4,0,0,1,15,1,0,15,0,0,14,0,8,168,5,0,1,2,1,9,0,22,3,22,1,1,4,2,97,8,0,6391,247,0,5,26,7,9.5,3.92,2.365484897,3.714285714,0.384615385,FALSE,FALSE,FALSE,FALSE,FALSE
none,3,5,2,3,8,1,0,4,0,0.25,1,1,4,0,3,1,0,0,3,0,0,0,2,0,0,2,0,0,2,0,0,20,5,0,2,0,0,0,0,3,0,3,1,0,0,0,33,1,0,138,7,0,0,1,1,7,0,0,1,1,FALSE,FALSE,FALSE,FALSE,FALSE
minor,8,10,2,8,3,2,0,1,1,0.6666667,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,0,4,1,1,3,0,0,4,0,0,42,1,0,0,0,0,0,0,4,0,4,0,1,0,0,22,1,0,2667,89,0,1,5,5,17.8,4.88,1.487929819,1,0.2,TRUE,FALSE,FALSE,FALSE,FALSE
major,9,12,3,9,11,1,0,17,2,0.8214286,0.33333334,0.33333334,4,1,1,1,0,2,3,0,0,0,14,3,0,13,0,1,12,0,1,193,5,0,4,2,0,3,3,20,0,20,3,0,2,0,149,1,0,4691,170,0,3,5,5,34,7.5,1.316985234,1,0.2,TRUE,TRUE,FALSE,FALSE,FALSE
minor,5,12,7,5,26,1,0,33,25,0.8375,0.22222222,0.46666667,10,0,10,0,0,0,10,0,0,0,16,4,0,16,0,0,2,0,3,115,9,2,13,0,0,12,0,21,0,21,3,0,0,0,66,1,0,15906,179,0,0,3,2,59.66666667,2.142011834,0.781993244,1.5,0.666666667,FALSE,FALSE,FALSE,FALSE,FALSE
major,35,40,5,35,94,2,0,132,161,0.8956142,0.30333334,0.7,38,3,16,13,0,9,25,0,0,24,29,6,0,20,0,9,14,0,21,414,23,12,16,5,1,60,13,70,33,61,2,4,1,0,198,1,30,2631,121,0,1,10,6,12.1,4.040816327,1.876566185,1.666666667,0.4,TRUE,FALSE,FALSE,FALSE,FALSE
none,0,0,0,0,4,1,0,2,0,0.44444445,0.6666667,1,3,0,0,0,0,3,3,0,0,1,3,0,0,3,0,0,2,0,0,20,1,0,2,0,0,0,0,5,0,3,1,0,0,0,14,26,0,3328,58,1,0,2,2,29,8.666666667,0.293672994,1,0.5,FALSE,FALSE,FALSE,FALSE,FALSE
none,4,4,0,4,7,2,0,4,0,0,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,2,23,1,0,0,0,0,0,0,4,0,1,1,0,0,0,41,10,0,6026,386,3,6,18,5,21.44444444,6.411458333,2.302832525,3.6,0.277777778,TRUE,FALSE,FALSE,FALSE,FALSE
none,4,17,13,4,6,1,0,2,15,0,0,0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,2,0,2,0,0,0,0,66,1,0,4302,20,0,0,1,1,20,2.5,0,1,1,FALSE,FALSE,FALSE,FALSE,FALSE
none,4,4,0,4,2,3,0,4,0,0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,1,0,1,1,0,0,0,17,1,0,67,16,0,0,1,1,16,0,0,1,1,TRUE,FALSE,FALSE,FALSE,FALSE
minor,5,5,0,5,57,2,0,3,3,0,0,0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,87,4,0,15,0,31,1,31,35,0,6,2,0,0,0,64,8,0,8006,72,0,1,1,1,72,11.57024793,0,1,1,TRUE,FALSE,TRUE,FALSE,FALSE
none,2,3,1,2,3,5,0,1,0,0.5555556,0.6666667,1,3,0,3,0,0,0,3,0,0,0,3,1,0,3,0,0,3,0,0,28,2,0,0,0,0,2,1,3,1,3,0,0,1,0,46,1,0,3474,46,0,1,3,2,15.33333333,0,0.816934514,1.5,0.666666667,FALSE,FALSE,FALSE,FALSE,FALSE
major,7,13,6,7,61,2,0,9,1161,0.95666647,0.026122449,0.034285713,50,0,50,0,0,0,50,0,0,0,24,0,0,24,0,0,0,0,0,200,24,0,9,0,0,26,7,29,2,24,5,0,0,0,148,1,0,5495,353,0,1,6,5,58.83333333,8.674556213,1.688401252,1.2,0.333333333,TRUE,FALSE,FALSE,FALSE,FALSE
none,1,1,0,1,1,4,0,0,0,0.5,,,1,0,1,0,0,0,1,0,0,0,2,1,1,1,0,0,1,0,0,8,0,0,0,0,0,0,1,2,0,2,0,0,0,0,13,9,0,46005,89,0,1,1,1,89,2.5,0,1,1,TRUE,FALSE,FALSE,FALSE,FALSE
none,3,5,2,3,14,1,0,3,22,0.6666667,0.19444445,0.2777778,9,0,9,0,0,0,9,0,0,0,2,0,0,2,0,0,2,0,1,42,10,0,4,0,0,2,1,3,0,3,1,0,0,0,32,1,0,806,70,0,2,4,4,17.5,3.5,0.691542402,1,0.25,TRUE,FALSE,FALSE,FALSE,FALSE
major,15,15,0,15,28,3,0,40,0,0.5,0.4642857,0.75,9,0,8,1,0,0,8,0,4,0,2,0,0,2,0,0,2,0,3,88,7,0,10,0,0,2,2,20,1,17,3,0,0,0,91,9,0,32564,896,1,9,47,12,19.06382979,6.041522491,3.597798826,3.916666667,0.361702128,FALSE,FALSE,FALSE,FALSE,FALSE
none,7,7,0,7,12,1,0,7,0,0.25,0.10714286,0.10714286,8,0,7,0,0,1,8,0,0,0,2,0,0,0,0,2,2,0,0,37,5,0,2,0,0,0,0,2,0,2,1,0,0,0,28,24,0,2456,56,0,3,4,2,14,5.5,0.690842761,2,0.75,FALSE,FALSE,FALSE,FALSE,FALSE
none,7,8,1,7,2,1,0,2,1,1,0,0,2,0,2,0,0,0,2,0,0,0,1,1,1,0,0,0,1,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,17,1,0,5716,378,1,2,13,8,29.07692308,8.439909297,2.258677359,1.625,0.384615385,FALSE,FALSE,FALSE,FALSE,FALSE
minor,12,16,4,12,67,3,0,28,273,0.8107143,0.22689076,0.43529412,35,0,35,0,0,0,35,0,26,0,8,1,1,7,0,0,1,0,2,201,26,1,18,0,12,4,36,26,1,10,2,0,0,0,62,17,0,830,51,0,1,1,1,51,0,0,1,1,FALSE,FALSE,FALSE,FALSE,FALSE
none,5,5,0,5,6,4,0,6,0,0,1,1,2,0,0,0,0,2,2,0,0,0,1,0,0,0,0,1,1,0,0,17,2,0,2,0,0,2,0,1,1,1,2,0,0,0,36,2,1,3610,128,0,18,22,14,5.818181818,0,2.744751176,1.571428571,0.181818182,FALSE,FALSE,FALSE,FALSE,FALSE
minor,15,21,6,15,22,1,0,41,8,0.6388889,0.32142857,0.42857143,9,1,5,1,0,3,8,0,0,0,4,1,0,4,0,0,4,0,5,90,6,2,6,0,1,13,8,27,4,22,3,0,0,0,108,1,4,1507,58,0,2,10,4,5.8,3.78125,2.005104309,2.5,0.4,TRUE,FALSE,FALSE,FALSE,FALSE
none,3,4,1,3,4,2,0,0,3,0,0,0,3,1,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,1,0,0,1,0,0,0,0,1,0,0,0,109,17,0,8263,152,0,0,2,1,76,4.875,0.682635923,2,1,FALSE,FALSE,FALSE,FALSE,FALSE
none,6,6,0,6,3,1,0,12,0,0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,1,1,0,1,1,0,0,0,10,17,0,17116,232,0,6,25,7,9.28,7.510926119,2.703482215,3.571428571,0.32,FALSE,TRUE,FALSE,FALSE,FALSE
none,8,13,5,8,6,10,0,3,15,0,0,0,6,1,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,1,44,4,0,0,0,0,1,0,0,0,0,0,0,2,0,91,0,0,1067,53,1,0,4,3,13.25,0,0.89434428,1.333333333,0.5,FALSE,FALSE,FALSE,FALSE,FALSE
none,4,8,4,4,7,1,0,11,0,0.5555556,0.2,0.3,6,1,5,1,0,0,5,0,0,0,3,1,0,3,0,0,1,0,0,49,5,1,0,0,0,3,1,3,0,3,1,0,1,0,28,1,0,3295,64,0,1,3,2,21.33333333,0,0.912630387,1.5,0.666666667,TRUE,FALSE,FALSE,FALSE,FALSE
none,8,15,7,8,8,2,0,2,3,0.6666667,0.4,0.4,6,0,6,0,0,0,6,1,0,0,2,0,1,0,1,0,1,0,0,34,1,0,0,2,0,0,0,2,0,2,1,1,0,0,73,1025,0,1668,412,0,1,13,3,31.69230769,0,2.068982437,4.333333333,0.615384615,FALSE,FALSE,FALSE,FALSE,FALSE
none,3,4,1,3,3,2,0,0,1,0.5,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,0,0,0,13,2,0,0,0,0,2,0,3,0,2,0,0,0,0,23,1,0,22802,677,2,4,26,8,26.03846154,13.58218549,2.89485786,3.25,0.384615385,TRUE,FALSE,FALSE,FALSE,FALSE
none,2,2,0,2,4,2,0,4,1,0,0,0,2,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,1,0,0,0,0,1,0,3,1,0,0,1,20,1,1,989,47,1,0,7,1,6.714285714,3,1.326561611,7,1,FALSE,FALSE,FALSE,FALSE,FALSE
none,9,10,1,9,5,1,0,17,0,0,,,2,2,1,1,0,0,1,0,0,0,4,4,0,4,0,0,4,0,11,28,2,0,1,1,0,12,1,11,4,9,1,0,0,0,37,17,0,146,10,0,1,3,1,3.333333333,0,0.943348392,3,1,FALSE,FALSE,FALSE,FALSE,FALSE
minor,28,44,16,28,21,1,0,9,210,0.95238096,0,0,21,20,20,1,0,0,20,0,0,0,1,1,0,1,0,0,1,0,4,66,20,0,0,0,0,1,0,1,0,3,0,0,0,2,122,17,0,1161,24,0,2,3,2,8,0,0.615990578,1.5,0.666666667,FALSE,FALSE,FALSE,TRUE,FALSE
none,4,6,2,4,7,3,0,4,3,0,,,3,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,23,5,0,4,0,0,1,0,3,0,3,1,0,0,0,16,1,0,624,65,0,2,2,1,32.5,0,0.590023748,2,1,FALSE,FALSE,FALSE,FALSE,FALSE
none,1,1,0,1,7,1,0,2,0,0,1,1,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,0,18,4,2,0,0,0,0,2,3,0,3,2,0,0,0,14,12,0,4023,363,1,12,33,5,11,4.703125,2.681569944,6.6,0.484848485,FALSE,FALSE,FALSE,FALSE,FALSE
none,2,8,6,2,18,1,0,3,0,0.14285715,0.6666667,0.71428573,7,1,7,0,0,0,7,0,0,0,2,0,0,2,0,0,2,0,0,60,13,0,9,0,4,3,4,7,5,5,2,0,1,0,22,1,0,19901,328,0,2,8,2,41,8.933106576,1.913504253,4,0.875,FALSE,FALSE,FALSE,FALSE,FALSE
minor,8,9,1,8,1,4,0,2,0,1,,,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,67,0,0,0,0,0,3,0,1,1,1,0,1,2,0,39,1,0,1225,24,0,0,1,1,24,4.4,0,1,1,TRUE,FALSE,FALSE,FALSE,FALSE
none,2,9,7,2,6,1,0,2,0,0.33333334,0.6666667,1,4,1,3,1,0,0,3,0,0,0,3,0,0,3,0,0,3,0,0,22,4,1,0,0,0,3,0,3,0,3,2,0,0,0,22,1,0,8193,135,1,0,4,4,33.75,5.555555556,1.240751669,1,0.25,FALSE,FALSE,FALSE,FALSE,FALSE
minor,2,2,0,2,5,1,0,8,1,0,,,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,48,2,0,2,1,0,23,0,5,1,5,2,0,0,0,50,9,0,306,19,0,0,4,1,4.75,0,0.609627424,4,1,FALSE,TRUE,FALSE,FALSE,FALSE
none,2,5,3,2,6,1,0,0,0,0.44444445,0.6666667,1,6,0,6,0,0,0,6,0,0,0,3,0,0,3,0,0,0,0,0,25,4,0,0,0,0,3,0,3,1,3,0,0,0,0,43,1,0,2878,76,0,1,2,2,38,12.32098765,0.664831809,1,0.5,FALSE,FALSE,FALSE,FALSE,FALSE
minor,4,4,0,4,8,1,0,10,0,0.33333334,1,1,2,0,2,0,0,0,2,0,0,0,3,1,0,3,0,0,1,0,0,29,1,1,5,0,0,0,8,15,1,11,3,0,0,0,30,10,0,9423,321,3,9,16,5,20.0625,5.725,2.412637758,3.2,0.4375,FALSE,FALSE,FALSE,TRUE,FALSE
minor,14,14,0,14,61,1,0,44,167,0.8402368,0.24307692,0.8523077,26,0,24,0,0,2,26,0,0,0,13,0,2,6,2,3,3,0,1,221,15,0,18,0,12,6,16,54,0,25,2,0,0,0,174,9,0,10889,619,0,6,12,4,51.58333333,11,2.206899316,3,0.416666667,FALSE,FALSE,FALSE,FALSE,FALSE
none,6,9,3,6,6,4,0,3,10,0,0,0,5,1,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,18,3,0,1,0,0,0,0,1,0,1,0,0,0,0,53,1,0,14070,229,0,1,15,3,15.26666667,4.92733564,2.204112728,5,0.466666667,FALSE,FALSE,FALSE,FALSE,FALSE
major,9,12,3,9,4,9,0,1,3,0.77777785,0,0,3,0,0,0,0,3,4,0,0,0,3,2,0,0,0,3,0,0,0,158,2,0,0,0,0,0,0,3,0,3,0,0,7,0,29,1,0,1274,55,0,0,4,3,13.75,4.5,1.287988584,1.333333333,0.5,FALSE,FALSE,FALSE,FALSE,FALSE
minor,10,10,0,10,15,2,0,17,10,0,0,0,5,0,4,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,47,5,0,6,0,0,1,2,11,0,10,2,0,0,0,37,9,0,67056,1225,6,27,42,2,29.16666667,10.39542144,3.304725011,21,0.976190476,TRUE,FALSE,FALSE,FALSE,FALSE
none,6,8,2,6,8,3,0,9,22,0.625,0.10714286,0.10714286,8,0,8,0,0,0,8,0,0,0,1,0,1,0,0,0,0,0,0,30,6,0,0,0,0,8,2,1,1,1,0,0,0,0,74,1,0,6561,112,0,0,3,3,37.33333333,0,0.821107189,1,0.333333333,FALSE,TRUE,FALSE,FALSE,FALSE
none,2,2,0,2,3,2,0,0,0,0,1,1,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,13,2,0,0,0,0,0,0,1,2,1,0,0,0,0,11,1,0,30663,395,0,53,60,5,6.583333333,8.489795918,3.397827464,12,0.833333333,FALSE,FALSE,FALSE,FALSE,FALSE
none,4,4,0,4,3,3,0,1,0,0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,2,1,1,0,0,0,1,4,0,3,2,0,0,0,21,1,0,5117,60,0,1,2,1,30,4.94,0.422709088,2,1,TRUE,TRUE,FALSE,FALSE,FALSE
none,12,12,0,12,3,1,0,11,0,0.5,,,1,0,1,0,0,0,1,0,0,0,2,1,0,2,0,0,1,0,0,18,0,1,1,1,0,7,0,2,0,3,3,0,0,0,24,1,0,1088,44,0,1,3,1,14.66666667,3,1.01804718,3,1,TRUE,FALSE,FALSE,FALSE,FALSE
major,7,7,0,7,173,1,0,156,3061,0.96518993,0.000414079,0.000414079,79,78,70,9,0,0,70,0,0,0,4,4,0,4,0,0,4,0,122,701,93,12,35,32,9,10,27,98,9,79,4,2,2,4,1106,17,0,14585,561,0,3,52,14,10.78846154,8.512396694,3.22679666,3.714285714,0.442307692,FALSE,FALSE,FALSE,FALSE,FALSE
critical,44,60,16,44,190,1,0,259,623,0.91880345,0.26923078,0.26923078,39,38,10,27,0,2,13,0,0,2,12,12,0,10,0,2,12,0,85,953,41,37,28,9,16,91,45,146,17,128,6,2,14,6,564,1,4,20822,787,3,45,64,30,12.296875,7.467455621,3.459801801,2.133333333,0.171875,FALSE,TRUE,FALSE,FALSE,FALSE
none,4,4,0,4,5,2,0,6,1,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0,2,0,0,3,0,0,0,0,1,0,0,0,15,9,0,7941,266,0,0,8,2,33.25,6.078512397,1.711781385,4,0.625,FALSE,FALSE,FALSE,FALSE,FALSE
none,3,4,1,3,2,1,0,0,1,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,4984,110,0,3,6,1,18.33333333,3.625,1.679120675,6,1,FALSE,FALSE,FALSE,TRUE,FALSE
none,5,6,1,5,2,2,0,3,1,0.5,0,0,2,0,2,0,0,0,2,0,0,0,2,0,2,0,0,0,2,0,3,10,2,0,0,0,0,0,0,2,0,2,0,0,0,0,19,1,0,20354,577,1,10,19,8,30.36842105,11.80571429,2.599378702,2.375,0.315789474,FALSE,FALSE,FALSE,FALSE,FALSE
none,6,7,1,6,3,2,0,4,3,0,0,0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,1,0,1,0,0,0,0,21,1,0,1099,68,0,0,4,3,17,5.027777778,1.09138871,1.333333333,0.5,FALSE,FALSE,FALSE,FALSE,FALSE
none,5,5,0,5,2,2,0,6,1,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,4,0,2,0,0,0,0,16,10,0,2459467,8824,0,23,191,17,46.19895288,11.80216191,4.890186196,11.23529412,0.272251309,TRUE,FALSE,FALSE,FALSE,FALSE
none,5,8,3,5,7,1,0,0,21,0,0,0,7,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,1,0,2798,171,0,0,6,3,28.5,0,1.37848664,2,0.666666667,FALSE,FALSE,FALSE,FALSE,FALSE
major,12,12,0,12,21,2,0,24,0,0.5,0.6666667,1,5,0,4,1,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,129,2,0,1,0,2,0,42,15,27,10,2,4,0,0,67,1,0,7872,81,1,3,4,1,20.25,0,0.45264911,4,1,TRUE,FALSE,FALSE,FALSE,FALSE
none,2,2,0,2,6,2,0,1,6,0,0,0,4,1,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,27,1,0,0,0,0,3,10,5,0,1,1,0,0,0,14,1,0,9812,57,0,0,3,1,19,7.017751479,0.878525099,3,1,FALSE,FALSE,FALSE,FALSE,FALSE
major,2,2,0,2,46,1,0,31,19,0.78333336,0.16666667,0.16666667,10,2,2,7,0,1,4,0,0,0,6,5,0,6,0,0,4,0,32,194,16,0,16,7,0,35,0,28,17,19,5,2,0,17,184,0,0,13040,328,0,2,12,5,27.33333333,9.5,1.904356675,2.4,0.5,FALSE,TRUE,FALSE,FALSE,FALSE
none,9,9,0,9,10,3,0,5,24,0.8333333,0.071428575,0.071428575,8,0,8,0,0,0,8,0,0,0,3,3,1,2,0,0,3,0,0,32,4,0,2,0,0,5,1,5,1,5,0,0,0,0,43,9,0,13741,327,0,1,12,2,27.25,4.666666667,2.177175117,6,0.833333333,FALSE,FALSE,FALSE,FALSE,FALSE
none,2,5,3,2,9,1,0,0,36,0,0,0,9,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,49,1,0,4703,109,0,1,3,3,36.33333333,4,1.080263294,1,0.333333333,FALSE,FALSE,FALSE,FALSE,FALSE
none,3,8,5,3,9,3,0,1,21,0.85714287,0,0,7,1,7,0,0,0,7,0,1,0,1,1,0,1,0,0,1,0,0,23,5,0,2,0,1,4,1,1,0,1,0,0,0,0,44,17,0,10229,268,0,1,14,5,19.14285714,12.81122449,2.206116651,2.8,0.357142857,FALSE,FALSE,FALSE,FALSE,FALSE
major,9,11,2,9,48,1,0,39,0,0.1,0,0,1,1,1,0,0,0,2,0,0,0,10,10,1,1,0,8,0,0,128,349,5,8,5,6,21,46,149,206,48,51,5,0,0,0,109,1,10,19310,426,0,4,13,5,32.76923077,6.641975309,2.175539799,2.6,0.461538462,FALSE,FALSE,FALSE,TRUE,FALSE
none,3,6,3,3,7,1,0,5,0,0,1,1,7,0,7,0,0,0,7,0,0,0,1,0,0,1,0,0,1,0,0,24,5,0,0,0,0,0,0,1,0,1,0,0,0,0,26,1,0,5284,238,0,1,6,2,39.66666667,6.752834467,1.530481749,3,0.666666667,FALSE,FALSE,FALSE,FALSE,FALSE
none,6,6,0,6,4,1,0,0,6,0,0,0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1033,0,23025,295,0,7,18,2,16.38888889,10.59259259,2.319865125,9,0.833333333,TRUE,FALSE,FALSE,FALSE,FALSE
none,5,6,1,5,7,1,0,10,1,0.5,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,0,2,1,1,1,0,0,2,0,6,32,3,0,1,1,0,3,0,9,0,7,1,0,0,0,28,17,0,7103,143,1,3,3,2,47.66666667,2,0.704515258,1.5,0.666666667,FALSE,FALSE,FALSE,FALSE,FALSE
minor,2,3,1,2,14,2,0,0,77,0.85714287,0.07692308,0.07692308,14,0,14,0,0,0,14,0,0,0,7,0,0,7,0,0,0,0,0,51,7,0,0,0,0,0,0,7,0,7,0,0,0,0,31,1,0,4025,67,1,0,2,2,33.5,6.375,0.549699682,1,0.5,FALSE,FALSE,FALSE,FALSE,FALSE
none,2,4,2,2,14,1,0,9,0,0.5,1,1,7,0,7,0,0,0,7,0,0,0,2,1,1,1,0,0,2,0,1,46,11,0,6,0,1,1,3,5,2,5,2,0,0,0,31,1,0,3888,201,2,0,5,4,40.2,0,1.398953769,1.25,0.4,FALSE,FALSE,FALSE,FALSE,FALSE
none,3,4,1,3,26,1,0,5,0,0.46875,0.52380955,0.71428573,8,0,7,1,0,0,7,0,0,0,4,0,3,0,0,1,0,0,0,73,8,5,12,0,6,2,9,34,6,24,2,0,0,0,30,17,0,4423,136,0,2,14,5,9.714285714,0,2.098140818,2.8,0.642857143,FALSE,FALSE,FALSE,TRUE,FALSE
none,1,3,2,1,5,1,0,2,10,0.8,0,0,5,5,5,0,0,0,5,0,0,0,4,4,0,4,0,0,4,0,0,21,5,0,0,0,0,25,1,4,1,4,0,0,0,0,164,1,0,1377,12,0,0,1,1,12,0,0,1,1,FALSE,FALSE,FALSE,FALSE,FALSE
none,11,16,5,11,27,1,0,24,4,0.7692308,0.5,1,12,1,7,4,0,1,8,0,0,0,13,2,1,12,0,0,1,0,1,113,5,1,4,1,1,8,16,34,4,24,3,0,0,0,96,1,3,38587,214,1,7,12,4,17.83333333,4.603878116,2.254214182,3,0.5,TRUE,FALSE,FALSE,FALSE,FALSE
none,2,9,7,2,3,2,0,1,3,1,0,0,3,0,3,0,0,0,3,0,0,0,1,1,1,0,0,0,1,0,0,31,3,0,0,0,0,10,0,1,0,1,0,0,1,0,63,1,0,662,32,0,0,4,2,8,0,1.018199561,2,0.75,FALSE,FALSE,FALSE,FALSE,FALSE
none,3,5,2,3,22,3,1,5,6,0.33333334,0.41666666,0.41666666,9,0,9,0,0,0,9,0,0,0,2,0,0,0,2,0,0,0,0,56,15,0,4,0,0,0,11,14,0,5,1,0,0,0,97,1,0,321,55,0,2,2,2,27.5,0,0.211687545,1,0.5,TRUE,FALSE,FALSE,FALSE,FALSE
major,14,25,11,14,15,34,0,25,14,0.8035714,,,8,1,1,7,0,0,1,0,0,0,7,0,0,7,0,0,7,0,1,265,0,1,6,0,0,10,4,10,1,10,1,3,12,0,146,17,0,4,1,0,0,1,1,1,0,0,1,1,FALSE,FALSE,FALSE,FALSE,FALSE
none,3,4,1,3,7,1,0,6,0,0,,,1,1,1,0,0,0,1,0,0,0,2,2,0,2,0,0,0,0,2,14,1,0,4,0,0,3,0,4,0,3,2,0,0,0,18,1,2,76,32,0,0,1,1,32,0,0,1,1,TRUE,FALSE,FALSE,TRUE,FALSE
none,5,10,5,5,9,1,0,3,0,0.44444445,0.73333335,1,6,0,6,0,0,0,6,0,0,0,3,0,0,3,0,0,0,0,0,23,6,0,3,0,0,4,0,0,1,3,0,0,0,0,18,1,0,1489,31,0,0,1,1,31,5,0,1,1,FALSE,FALSE,FALSE,FALSE,FALSE
